seed_name,unprescaled,prescale,prescaled,d_prescaled,unique,d_unique,proportional,weight
L1_DoubleJet40er3p0,2530.833,34000,0.000,0.000,0.000,0.000,0.000,6.182
L1_DoubleJet50er3p0,574.837,0,0.000,0.000,0.000,0.000,0.000,4.189
L1_DoubleJet60er3p0,165.998,0,0.000,0.000,0.000,0.000,0.000,2.659
L1_DoubleJet80er3p0,32.605,0,0.000,0.000,0.000,0.000,0.000,1.861
L1_DoubleJet100er3p0,12.728,170,0.051,0.038,0.051,0.038,0.051,1.803
L1_DoubleJet112er3p0,7.716,100,0.050,0.038,0.000,0.000,0.009,1.779
L1_DoubleJet120er3p0,5.401,1,5.401,0.391,0.909,0.160,1.758,1.780
L1_TripleJet_84_68_48_VBF,25.245,0,0.000,0.000,0.000,0.000,0.000,2.978
L1_TripleJet_88_72_56_VBF,12.965,0,0.000,0.000,0.000,0.000,0.000,2.674
L1_TripleJet_92_76_64_VBF,7.238,0,0.000,0.000,0.000,0.000,0.000,2.409
L1_QuadJet40er3p0,458.063,0,0.000,0.000,0.000,0.000,0.000,29.325
L1_QuadJet50er3p0,41.142,0,0.000,0.000,0.000,0.000,0.000,15.439
L1_QuadJet60er3p0,3.149,1,3.149,0.299,0.286,0.090,0.836,5.049
L1_HTT120er,854.024,11400,0.000,0.000,0.000,0.000,0.000,4.183
L1_HTT160er,306.370,4100,0.000,0.000,0.000,0.000,0.000,4.010
L1_HTT200er,118.143,1600,0.000,0.000,0.000,0.000,0.000,3.701
L1_HTT220er,76.837,0,0.000,0.000,0.000,0.000,0.000,3.493
L1_HTT240er,51.767,0,0.000,0.000,0.000,0.000,0.000,3.326
L1_HTT255er,37.249,500,0.000,0.000,0.000,0.000,0.000,3.189
L1_HTT270er,28.067,0,0.000,0.000,0.000,0.000,0.000,3.084
L1_HTT280er,23.103,0,0.000,0.000,0.000,0.000,0.000,3.029
L1_HTT300er,16.551,0,0.000,0.000,0.000,0.000,0.000,2.834
L1_HTT320er,13.093,1,13.093,0.609,0.156,0.066,2.903,2.749
L1_HTT340er,9.995,1,9.995,0.532,0.000,0.000,1.782,2.651
L1_HTT380er,6.280,1,6.280,0.422,0.000,0.000,0.862,2.517
L1_HTT400er,4.681,1,4.681,0.364,0.000,0.000,0.553,2.393
L1_HTT450er,3.054,1,3.054,0.294,0.000,0.000,0.277,2.244
L1_HTT500er,2.007,1,2.007,0.239,0.000,0.000,0.136,2.213
L1_ETM30,9320.641,0,0.000,0.000,0.000,0.000,0.000,1.728
L1_ETM40,4535.913,0,0.000,0.000,0.000,0.000,0.000,2.500
L1_ETM50,2082.292,0,0.000,0.000,0.000,0.000,0.000,3.891
L1_ETM60,922.497,0,0.000,0.000,0.000,0.000,0.000,6.144
L1_ETM70,311.015,0,0.000,0.000,0.000,0.000,0.000,7.338
L1_ETM75,174.260,0,0.000,0.000,0.000,0.000,0.000,7.451
L1_ETM80,98.645,0,0.000,0.000,0.000,0.000,0.000,7.264
L1_ETM85,54.018,0,0.000,0.000,0.000,0.000,0.000,6.733
L1_ETM90,31.350,0,0.000,0.000,0.000,0.000,0.000,6.076
L1_ETM95,19.465,0,0.000,0.000,0.000,0.000,0.000,5.282
L1_ETM100,11.588,0,0.000,0.000,0.000,0.000,0.000,4.645
L1_ETM105,7.511,0,0.000,0.000,0.000,0.000,0.000,4.014
L1_ETM110,4.814,1,4.814,0.369,0.098,0.053,0.873,3.465
L1_ETM115,3.489,1,3.489,0.314,0.000,0.000,0.491,3.076
L1_ETM120,2.376,1,2.376,0.260,0.000,0.000,0.224,2.793
L1_ETM150,0.796,1,0.796,0.150,0.000,0.000,0.030,2.005
L1_ETMHF70,480.640,0,0.000,0.000,0.000,0.000,0.000,7.264
