L1Bit,L1SeedName,pre-scale0,rate0,error_rate0,pure0,propotional0
83,L1_DoubleEG_22_10,0,0,0,0,0
84,L1_DoubleEG_22_12,0,0,0,0,0
85,L1_DoubleEG_22_15,0,0,0,0,0
86,L1_DoubleEG_23_10,1,2579.84,715.52,0,334.142
87,L1_DoubleEG_24_17,1,396.899,280.65,0,30.2896
88,L1_DoubleEG_25_12,1,992.247,443.746,0,87.8476
89,L1_DoubleEG_25_13,1,793.798,396.899,0,81.0045
90,L1_DoubleEG_25_14,1,793.798,396.899,0,81.0045
91,L1_TripleEG_14_10_8,1,793.798,396.899,793.798,793.798
92,L1_TripleEG_18_17_8,1,0,0,0,0
100,L1_SingleTau20,0,0,0,0,0
101,L1_SingleTau80er2p1,1,1587.6,561.3,0,33.073
102,L1_SingleTau100er2p1,1,1190.7,486.1,0,21.4753
103,L1_SingleTau120er2p1,1,595.348,343.724,0,6.14671
104,L1_DoubleTau50er2p1,1,1190.7,486.1,0,41.3789
105,L1_DoubleTau70er2p1,1,396.899,280.65,0,10.8751
106,L1_DoubleIsoTau28er2p1,1,3175.19,793.798,396.899,729.133
107,L1_DoubleIsoTau30er2p1,1,2579.84,715.52,0,266.084
108,L1_DoubleIsoTau32er2p1,1,1984.49,627.552,0,95.9846
109,L1_DoubleIsoTau33er2p1,1,1786.04,595.348,0,77.9438
110,L1_DoubleIsoTau34er2p1,1,1786.04,595.348,0,77.9438
111,L1_DoubleIsoTau35er2p1,1,1786.04,595.348,0,77.9438
112,L1_DoubleIsoTau36er2p1,1,1786.04,595.348,0,77.9438
113,L1_DoubleIsoTau38er2p1,1,1786.04,595.348,0,77.9438
120,L1_SingleJet16,0,0,0,0,0
121,L1_SingleJet20,0,0,0,0,0
122,L1_SingleJet35,0,0,0,0,0
123,L1_SingleJet60,30,3968.99,887.493,3373.64,3562.17
124,L1_SingleJet90,7,2381.39,687.449,793.798,1290.48
125,L1_SingleJet120,1,4365.89,930.81,0,544.62
126,L1_SingleJet140,1,2381.39,687.449,0,120.785
127,L1_SingleJet150,1,2381.39,687.449,0,120.785
128,L1_SingleJet160,1,1786.04,595.348,0,91.0571
129,L1_SingleJet170,1,1389.15,525.048,0,60.3789
130,L1_SingleJet180,1,992.247,443.746,0,18.1118
131,L1_SingleJet200,1,793.798,396.899,0,10.7618
140,L1_DoubleJet40er3p0,0,0,0,0,0
141,L1_DoubleJet50er3p0,0,0,0,0,0
142,L1_DoubleJet60er3p0,0,0,0,0,0
143,L1_DoubleJet80er3p0,1,4564.34,951.73,396.899,1071.22
144,L1_DoubleJet100er3p0,1,1984.49,627.552,0,95.2126
145,L1_DoubleJet112er3p0,1,1587.6,561.3,0,78.6751
146,L1_DoubleJet120er3p0,1,1190.7,486.1,0,47.4674
147,L1_TripleJet_84_68_48_VBF,1,2381.39,687.449,396.899,667.939
148,L1_TripleJet_88_72_56_VBF,1,1190.7,486.1,0,27.1127
149,L1_TripleJet_92_76_64_VBF,1,1190.7,486.1,0,27.1127
150,L1_QuadJet40er3p0,1,2778.29,742.53,198.449,708.008
151,L1_QuadJet50er3p0,1,595.348,343.724,0,48.6191
152,L1_QuadJet60er3p0,1,396.899,280.65,0,8.92922
160,L1_HTT120er,100,396.899,280.65,198.449,264.599
161,L1_HTT160er,1,15479.1,1752.66,4564.34,7015.1
162,L1_HTT200er,1,7144.18,1190.7,0,1253.77
163,L1_HTT220er,1,5159.68,1011.9,0,638.732
164,L1_HTT240er,1,3373.64,818.228,0,230.562
165,L1_HTT255er,1,2778.29,742.53,0,150.8
