seed,rate,error,chi2
L1_DoubleIsoTau36er2p1,9.8,0.1,133.246
L1_DoubleIsoTau38er2p1,8.8,0.1,129.339
L1_SingleJet35,11910.4,46.0,186.346
L1_SingleJet60,1010.3,3.8,235.57
L1_SingleJet90,106.5,1.2,774.34
L1_SingleJet120,28.1,0.3,417.738
L1_SingleJet140,14.0,0.2,350.825
L1_SingleJet150,10.4,0.2,296.048
L1_SingleJet160,7.9,0.1,271.863
L1_SingleJet170,6.2,0.1,272.835
L1_SingleJet180,5.0,0.1,267.62
L1_SingleJet200,3.6,0.1,290.989
L1_DoubleJet40er3p0,2351.5,14.1,203.518
L1_DoubleJet50er3p0,554.5,3.9,202.864
L1_DoubleJet60er3p0,161.9,1.6,141.576
L1_DoubleJet80er3p0,32.4,0.4,392.038
L1_DoubleJet100er3p0,12.4,0.2,295.022
L1_DoubleJet112er3p0,7.7,0.1,285.492
L1_DoubleJet120er3p0,5.7,0.1,244.193
L1_TripleJet_84_68_48_VBF,22.2,0.1,221.906
L1_TripleJet_88_72_56_VBF,12.0,0.1,178.316
L1_TripleJet_92_76_64_VBF,6.8,0.0,197.788
L1_QuadJet40er3p0,239.1,0.5,761.896
L1_QuadJet50er3p0,23.8,0.1,375.166
L1_QuadJet60er3p0,2.8,0.0,125.852
L1_HTT120er,717.0,2.2,324.097
L1_HTT160er,252.9,0.8,397.071
L1_HTT200er,100.0,0.3,363.053
L1_HTT220er,65.7,0.2,318.552
L1_HTT240er,44.4,0.2,272.221
L1_HTT255er,33.7,0.1,255.49
L1_HTT270er,26.1,0.1,218.117
L1_HTT280er,22.1,0.1,198.329
L1_HTT300er,16.3,0.1,169.156
L1_HTT320er,12.3,0.1,152.592
L1_HTT340er,9.5,0.1,127.674
L1_HTT380er,6.1,0.0,133.898
L1_HTT400er,5.1,0.0,159.805
L1_HTT450er,3.5,0.0,134.964
L1_HTT500er,2.6,0.0,165.521
L1_ETM30,13686.3,135.1,1355.76
L1_ETM40,6060.5,85.6,157.649
L1_ETM50,3456.6,30.3,190.68
L1_ETM60,1805.6,9.0,240.574
L1_ETM70,820.3,2.6,229.743
L1_ETM75,529.2,1.5,232.232
L1_ETM80,333.0,0.9,229.536
L1_ETM85,208.9,0.5,228.876
L1_ETM90,130.5,0.4,214.307
L1_ETM95,81.9,0.3,202.219
L1_ETM100,51.1,0.2,177.676
L1_ETM105,32.2,0.1,164.624
L1_ETM110,20.5,0.1,152.64
L1_ETM115,13.3,0.1,146.744
L1_ETM120,9.0,0.1,137.994
L1_ETM150,2.0,0.0,191.614
L1_ETMHF70,1257.5,4.3,263.879
L1_ETMHF80,557.4,1.4,202.147
L1_ETMHF90,228.1,0.5,182.125
L1_ETMHF100,90.6,0.3,188.574
L1_ETMHF110,36.2,0.2,171.597
L1_ETMHF120,14.9,0.1,140.024
L1_ETMHF150,2.4,0.1,184.993
L1_IsoEG24er2p1_Jet26er3p0_dR_Min0p3,22.0,0.1,130.982
L1_IsoEG26er2p1_Jet34er3p0_dR_Min0p3,15.6,0.1,154.284
