seed_name,unprescaled,prescale,prescaled,d_prescaled,unique,d_unique,proportional,weight
L1_SingleTau130er2p1,1.678,1,1.678,0.106,0.000,0.000,0.059,1.000
L1_SingleTau140er2p1,1.424,1,1.424,0.098,0.000,0.000,0.042,1.000
L1_DoubleTau50er2p1,6.725,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleTau70er2p1,2.186,1,2.186,0.121,0.000,0.000,0.182,1.000
L1_DoubleIsoTau28er2p1,13.036,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleIsoTau30er2p1,10.810,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleIsoTau32er2p1,8.891,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleIsoTau33er2p1,8.490,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleIsoTau34er2p1,7.935,1,7.935,0.230,0.254,0.041,1.623,1.000
L1_DoubleIsoTau35er2p1,7.547,1,7.547,0.225,0.000,0.000,1.341,1.000
L1_DoubleIsoTau36er2p1,7.046,1,7.046,0.217,0.000,0.000,1.138,1.000
L1_DoubleIsoTau38er2p1,6.377,1,6.377,0.206,0.000,0.000,0.962,1.000
L1_SingleJet16,20116.844,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleJet20,19026.628,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleJet35,10049.735,159000,0.060,0.020,0.060,0.020,0.060,1.000
L1_SingleJet60,1260.983,1700,0.735,0.070,0.689,0.068,0.700,1.000
L1_SingleJet90,102.795,1500,0.067,0.021,0.060,0.020,0.061,1.000
L1_SingleJet120,21.345,350,0.060,0.020,0.013,0.009,0.022,1.000
L1_SingleJet140,10.181,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleJet150,7.347,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleJet160,5.649,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleJet170,4.285,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleJet180,3.336,1,3.336,0.149,0.040,0.016,0.317,1.000
L1_SingleJet200,2.126,1,2.126,0.119,0.000,0.000,0.121,1.000
L1_SingleJet35_FWD,6380.977,103000,0.060,0.020,0.060,0.020,0.060,1.000
L1_SingleJet60_FWD,683.791,5100,0.134,0.030,0.134,0.030,0.134,1.000
L1_SingleJet90_FWD,30.971,250,0.120,0.028,0.080,0.023,0.093,1.000
L1_SingleJet120_FWD,4.178,40,0.100,0.026,0.007,0.007,0.043,1.000
L1_SingleJet35_HFp,413.444,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleJet35_HFm,267.218,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleJet60_HFp,30.102,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleJet60_HFm,19.941,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleJet40er3p0,2784.638,8400,0.328,0.047,0.321,0.046,0.323,1.000
L1_DoubleJet50er3p0,845.634,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleJet60er3p0,235.384,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleJet80er3p0,28.231,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleJet100er3p0,8.924,170,0.047,0.018,0.013,0.009,0.016,1.000
L1_DoubleJet112er3p0,5.348,100,0.053,0.019,0.000,0.000,0.015,1.000
L1_DoubleJet120er3p0,3.924,1,3.924,0.162,0.261,0.042,0.784,1.000
L1_DoubleJet150er3p0,1.591,1,1.591,0.103,0.000,0.000,0.115,1.000
L1_TripleJet_84_68_48_VBF,31.600,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_TripleJet_88_72_56_VBF,16.425,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_TripleJet_92_76_64_VBF,8.156,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_QuadJet40er3p0,623.225,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_QuadJet50er3p0,111.111,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_QuadJet60er3p0,15.262,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_HTT120er,664.291,11400,0.053,0.019,0.053,0.019,0.053,1.000
L1_HTT160er,243.827,4100,0.053,0.019,0.053,0.019,0.053,1.000
L1_HTT200er,94.987,1600,0.053,0.019,0.047,0.018,0.047,1.000
L1_HTT220er,60.980,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_HTT240er,40.016,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_HTT255er,29.808,500,0.053,0.019,0.027,0.013,0.033,1.000
L1_HTT270er,22.401,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_HTT280er,18.825,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_HTT300er,13.377,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_HTT320er,9.626,1,9.626,0.254,0.234,0.040,1.720,1.000
L1_HTT340er,6.932,1,6.932,0.215,0.000,0.000,0.857,1.000
L1_HTT380er,4.011,1,4.011,0.164,0.000,0.000,0.313,1.000
L1_HTT400er,3.289,1,3.289,0.148,0.000,0.000,0.211,1.000
L1_HTT450er,2.133,1,2.133,0.119,0.000,0.000,0.101,1.000
L1_HTT500er,1.457,1,1.457,0.099,0.000,0.000,0.053,1.000
L1_ETM30,6874.568,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETM40,3232.203,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETM50,1368.110,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETM60,549.410,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETM70,220.249,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETM75,140.097,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETM80,89.966,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETM85,57.791,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETM90,37.556,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETM95,25.008,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETM100,16.726,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETM105,11.505,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETM110,7.982,1,7.982,0.231,0.301,0.045,1.834,1.000
L1_ETM115,5.635,1,5.635,0.194,0.000,0.000,0.867,1.000
L1_ETM120,4.125,1,4.125,0.166,0.000,0.000,0.503,1.000
L1_ETM150,1.076,1,1.076,0.085,0.000,0.000,0.054,1.000
L1_ETMHF70,276.537,0,0.000,0.000,0.000,0.000,0.000,1.000
