id,name,proposed name,2,1.8,1.6,1.4,1.2,1,0.75,0.5,0.25,xml,POG,PAG,comment
89,L1_SingleIsoEG30er2p1,L1_SingleIsoEG30er,1,1,1,1,1,1,1,1,1,x,EG,BASE,Top: https://its.cern.ch/jira/browse/CMSLITDPG-89 rate = 50 Hz
90,L1_SingleIsoEG32er2p1,L1_SingleIsoEG32er,1,1,1,1,1,1,1,1,1,x,EG,BASE,slim:
91,L1_SingleIsoEG33er2p1,,1,1,1,1,1,1,1,1,1,x,EG,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-144
92,L1_SingleIsoEG34er2p1,L1_SingleIsoEG34er,1,1,1,1,1,1,1,1,1,x,EG,BASE,slim:
93,L1_SingleIsoEG35er2p1,,1,1,1,1,1,1,1,1,1,x,EG,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-144
94,L1_SingleIsoEG36er2p1,L1_SingleIsoEG36er,1,1,1,1,1,1,1,1,1,x,EG,BASE,slim:
95,L1_SingleIsoEG38er2p1,,1,1,1,1,1,1,1,1,1,x,EG,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-144
96,L1_SingleIsoEG40er2p1,,1,1,1,1,1,1,1,1,1,x,EG,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-144
97,L1_IsoEG33_Mt40,,1,1,1,1,1,1,1,1,1,x,EG,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-59
98,L1_IsoEG33_Mt44,,1,1,1,1,1,1,1,1,1,x,EG,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-59
99,L1_IsoEG33_Mt48,,1,1,1,1,1,1,1,1,1,x,EG,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-59
100,L1_DoubleEG_15_10,,0,0,0,0,0,0,0,0,0,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
101,L1_DoubleEG_18_17,,0,0,0,1,1,1,1,1,1,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
102,L1_DoubleEG_20_18,,0,0,0,1,1,1,1,1,1,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
