seed_name,unprescaled,prescale,prescaled,d_prescaled,unique,d_unique,proportional,weight
L1_HTT380er,4.280,1,4.280,0.339,0.000,0.000,0.334,1.000
L1_HTT400er,3.392,1,3.392,0.302,0.000,0.000,0.225,1.000
L1_HTT450er,1.858,1,1.858,0.224,0.000,0.000,0.086,1.000
L1_HTT500er,1.131,1,1.131,0.174,0.000,0.000,0.037,1.000
L1_ETM30,6660.776,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETM40,3032.204,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETM50,1246.871,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETM60,495.416,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETM70,198.242,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETM75,125.503,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETM80,82.053,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETM85,54.352,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETM90,35.858,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETM95,24.309,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETM100,16.448,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETM105,11.791,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETM110,8.184,1,8.184,0.469,0.350,0.097,1.841,1.000
L1_ETM115,5.788,1,5.788,0.395,0.000,0.000,0.847,1.000
L1_ETM120,4.523,1,4.523,0.349,0.000,0.000,0.567,1.000
L1_ETM150,1.131,1,1.131,0.174,0.000,0.000,0.076,1.000
L1_ETMHF70,256.444,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETMHF80,106.712,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETMHF90,46.222,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETMHF100,21.079,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETMHF110,10.472,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_ETMHF120,5.896,1,5.896,0.398,0.727,0.140,1.564,1.000
L1_ETMHF150,1.400,1,1.400,0.194,0.000,0.000,0.155,1.000
L1_SingleMuOpen_NotBptxOR,0.000,20,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMuOpen_NotBptxOR_3BX,0.000,1,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleJet20er3p0_NotBptxOR,0.000,500,0.000,0.000,0.000,0.000,0.000,1.000
