seed,rate,error,chi2
L1_SingleTau120er2p1,3.7,0.3,354.515
L1_DoubleTau50er2p1,9.8,0.5,554.164
L1_DoubleTau70er2p1,3.2,0.2,385.974
L1_DoubleIsoTau28er2p1,18.5,0.9,802.73
L1_DoubleIsoTau30er2p1,15.4,0.7,687.281
L1_DoubleIsoTau32er2p1,12.7,0.6,657.949
L1_DoubleIsoTau33er2p1,12.1,0.6,669.182
L1_DoubleIsoTau34er2p1,11.2,0.6,807.014
L1_DoubleIsoTau35er2p1,10.6,0.5,960.749
L1_DoubleIsoTau36er2p1,9.9,0.6,617.133
L1_DoubleIsoTau38er2p1,9.0,0.4,562.175
L1_SingleJet35,12150.2,440.5,1056.17
L1_SingleJet60,943.3,33.2,1298.4
L1_SingleJet90,110.2,3.9,994.568
L1_SingleJet120,28.6,1.1,662.827
L1_SingleJet140,14.2,0.6,665.17
L1_SingleJet150,10.6,0.7,1537.06
L1_SingleJet160,8.0,0.4,745.228
L1_SingleJet170,6.3,0.4,591.95
L1_SingleJet180,5.1,0.3,489.805
L1_SingleJet200,3.6,0.3,431.403
L1_DoubleJet40er3p0,2026.0,7.4,1124.25
L1_DoubleJet50er3p0,444.1,1.9,1082.8
L1_DoubleJet60er3p0,132.5,0.7,997.818
L1_DoubleJet80er3p0,32.9,1.2,1381.65
L1_DoubleJet100er3p0,12.5,0.4,947.161
L1_DoubleJet112er3p0,7.8,0.4,1160.45
L1_DoubleJet120er3p0,5.8,0.3,558.081
L1_TripleJet_84_68_48_VBF,20.6,0.9,1038.55
L1_TripleJet_88_72_56_VBF,11.3,0.5,672.82
L1_TripleJet_92_76_64_VBF,6.5,0.4,506.328
L1_QuadJet40er3p0,145.6,0.3,2327.97
L1_QuadJet50er3p0,13.7,0.1,1196.79
L1_QuadJet60er3p0,2.0,0.0,369.573
L1_HTT120er,630.0,3.3,1048.64
L1_HTT160er,221.0,1.1,1090.64
L1_HTT200er,88.5,0.5,1007.91
L1_HTT220er,58.3,0.3,882.627
L1_HTT240er,39.8,0.2,959.361
L1_HTT255er,30.3,0.2,980.18
L1_HTT270er,23.6,0.2,1020.62
L1_HTT280er,19.9,0.1,902.616
L1_HTT300er,14.2,0.1,1031.31
L1_HTT320er,10.6,0.1,1531.58
L1_HTT340er,8.7,0.1,1054.06
L1_HTT380er,5.6,0.1,689.172
L1_HTT400er,4.6,0.0,615.665
L1_HTT450er,3.2,0.2,523.871
L1_HTT500er,2.5,0.0,498.077
L1_ETM30,12011.3,98.0,1082.52
L1_ETM40,7168.5,51.0,1049.56
L1_ETM50,3828.4,19.6,1039.58
L1_ETM60,1785.7,6.4,1048.23
L1_ETM70,741.5,1.9,1090.26
L1_ETM75,462.2,1.0,1133.22
L1_ETM80,283.9,0.6,1198.88
L1_ETM85,172.5,0.3,1316.45
L1_ETM90,104.9,0.2,1360.5
L1_ETM95,63.7,0.1,1319.74
L1_ETM100,39.5,0.1,1416.52
L1_ETM105,24.6,0.1,1166.01
L1_ETM110,15.8,0.1,1061.11
L1_ETM115,10.4,0.1,808.404
L1_ETM120,6.9,0.0,653.161
L1_ETM150,1.8,0.0,287.511
L1_ETMHF70,1602.0,6.0,21096.5
L1_ETMHF80,750.8,2.0,19426.3
L1_ETMHF90,320.4,0.6,17582.9
L1_ETMHF100,128.1,0.2,16211.5
L1_ETMHF110,49.3,0.1,15329.1
L1_ETMHF120,19.4,0.1,13857.4
L1_ETMHF150,2.5,0.0,869.53
L1_IsoEG24er2p1_Jet26er3p0_dR_Min0p3,19.8,0.8,729.296
L1_IsoEG26er2p1_Jet34er3p0_dR_Min0p3,13.8,0.7,576.917
L1_IsoEG28er2p1_Jet34er3p0_dR_Min0p3,12.6,0.4,773.317
L1_IsoEG30er2p1_Jet34er3p0_dR_Min0p3,11.7,0.6,708.182
L1_IsoEG24er2p1_HTT100er,13.7,0.6,603.216
L1_IsoEG26er2p1_HTT100er,13.3,0.6,574.993
L1_IsoEG28er2p1_HTT100er,12.7,0.6,559.592
L1_IsoEG24er2p1_TripleJet_26er3p0_26_26er3p0,14.6,0.7,840.493
L1_Mu18_HTT100er,2.4,0.2,482.551
L1_Mu18_Jet24er3p0,15.1,0.9,692.929
L1_Mu20_EG17,0.4,0.1,146.731
L1_Mu23_EG10,1.4,0.2,189.096
L1_Mu23_IsoEG10,0.1,0.1,92.9932
L1_Mu5_EG23,2.7,0.2,229.755
L1_Mu5_IsoEG20,1.0,0.1,163.346
L1_Mu7_EG23,1.4,0.1,157.941
L1_Mu7_IsoEG20,0.5,0.1,138.658
L1_Mu7_IsoEG23,0.4,0.1,112.36
L1_HTT250er_QuadJet_70_55_40_35_er2p5,11.8,0.5,952.371
L1_HTT280er_QuadJet_70_55_40_35_er2p5,8.7,0.4,811.184
L1_HTT300er_QuadJet_70_55_40_35_er2p5,6.9,0.4,755.679
L1_DoubleJet100er2p3_dEta_Max1p6,6.7,0.4,638.116
L1_Mu10er2p3_Jet32er2p3_dR_Max0p4_DoubleJet32er2p3_dEta_Max1p6,4.0,0.0,1431.34
L1_Mu12er2p3_Jet40er2p3_dR_Max0p4_DoubleJet40er2p3_dEta_Max1p6,1.6,0.2,263.169
L1_IsoTau40er_ETM80,10.2,0.5,721.753
L1_IsoTau40er_ETM85,8.1,0.3,637.582
L1_IsoTau40er_ETM90,6.6,0.3,677.079
L1_IsoTau40er_ETM95,5.4,0.2,1020.51
L1_IsoTau40er_ETM100,4.4,0.3,488.67
L1_IsoTau40er_ETMHF80,10.4,0.5,10680.2
L1_IsoTau40er_ETMHF90,6.5,0.3,8293.46
L1_Mu22er2p1_IsoTau40er2p1,0.4,0.1,84.2365
L1_QuadJet36er3p0_IsoTau52er2p1,9.6,0.4,1259.94
L1_ETM80_Jet60_dPhi_Min0p4,62.0,0.2,1380.64
L1_ETM90_Jet60_dPhi_Min0p4,32.1,0.1,1293.73
L1_ETM100_Jet60_dPhi_Min0p4,16.3,0.1,959.247
L1_ETM110_Jet60_dPhi_Min0p4,8.2,0.0,1084.79
L1_DoubleJet60er3p0_ETM70,17.3,0.1,993.975
L1_DoubleJet60er3p0_ETM80,10.6,0.1,1042.53
L1_DoubleJet60er3p0_ETM90,6.1,0.0,818.175
L1_DoubleJet60er3p0_ETM100,3.5,0.0,501.073
L1_DoubleEG_Iso23_10,4.1,0.3,844.819
L1_DoubleEG_Iso24_10,4.0,0.3,505.244
L1_TripleEG_Iso20_10_5,2.7,0.2,408.386
L1_DoubleJet_90_30_DoubleJet30_Mass_Min620,36.9,0.2,1052.54
L1_DoubleJet_100_30_DoubleJet30_Mass_Min620,23.4,0.1,960.756
L1_DoubleJet_100_35_DoubleJet35_Mass_Min620,14.8,0.7,1699.57
L1_DoubleJet30_Mass_Min400_Mu6,54.6,0.2,1049.41
L1_DoubleJet30_Mass_Min400_Mu10,13.5,0.1,792.838
L1_IsoEG18er2p1_IsoTau24er2p1_dEta_Min0p2,3.8,0.3,909.394
L1_IsoEG20er2p1_IsoTau25er2p1_dEta_Min0p2,3.0,0.2,350.224
L1_IsoEG22er2p1_IsoTau26er2p1_dEta_Min0p2,2.7,0.3,569.937
L1_Mu16er2p1_Tau20er2p1,9.2,0.7,617.143
L1_Mu16er2p1_Tau24er2p1,3.6,0.3,276.597
L1_Mu18er2p1_Tau20er2p1,7.0,0.6,529.96
L1_Mu18er2p1_Tau24er2p1,2.8,0.3,468.096
